id	left	target	right	lemma
reorganisation/n/wlp_nz_b01/121181	or levels of infrastructure investment , and savings of $140 million in its first year . <p> But the @ @ @ @ @ @ @ @ @ @ current	reorganisation	process in the Local Government Act 2002 is lengthy , complex and the chances of success are low . <p> Of the 11 proposals considered under the existing provisions only	reorganisation
reorganization/n/wlp_nz_b01/6772365	a turn of the screw of some sort and so did al-Assad 's \" Corrective Movement . \" But al-Assad 's coup led to a far more systematic and comprehensive	reorganization	of state power , while resorting to far more pragmatic policies . <p> To back up his bid for political power , Assad had relied heavily on two causes of	reorganization
reorganisation/n/wlp_nz_b01/9990074	streamline the local government reorganisation process . <p> The bill includes provisions that would enable community groups -- like A Better Hawke 's Bay in our region -- to initiate	reorganisation	proposals . It would put a greater burden on those wishing to protect the status quo . And if a poll were required to approve a reorganisation proposal put forward	reorganisation
reorganisation/n/wlp_nz_b01/7408909	but the average wage at all pre-existing layers falls . Following the logic above this drop in average wages has a very clear economic rationale . The objective of the	reorganisation	is exactly to economise on the knowledge of all pre-existing layers . Apprentices are hired exactly because they know less than the master , and can deal with the most	reorganisation
reorganisation/n/wlp_nz_b01/22723720	powers of intervention and tying it back to these fiscal benchmarks , and because of the way in which it changes the purpose of local government and because of the	reorganisation	proposals . <p> I would like to focus on the purpose of local government . This National Government knows the cost of everything and the value of nothing , and	reorganisation
reorganization/n/wlp_nz_b01/8449476	<p> The Transitional Authority will be around for @ @ @ @ @ @ @ @ @ @ around indefinitely . Hence , I regard the Local Government ( Auckland	Reorganization	) Bill as being far less important than the Local Government ( Auckland Council ) Bill . Are you really saying you disagree ? <p> I 'm not wild about	reorganization
reorganisation/n/wlp_nz_b01/9990975	relates to , ' to make an application . <p> So an unelected , well resourced group like the Chamber of Commerce or A Better HB , can sponser a	reorganisation	proposal ( unitary authority ) without @ @ @ @ @ @ @ @ @ @ , their proposal can be enforced from Wellington . <p> And that 's okay	reorganisation
reorganisation/n/wlp_nz_b01/11935620	@ @ change , as well as the loss of personal and institutional knowledge . \" <p> I guess you can argue Key is n't proposing a \" significant \"	reorganisation	, but again - tricky . <p> \" Under Labour , the bureaucracy would continue to grow and grow as it has done unrelentingly for the past eight years .	reorganisation
reorganisation/n/wlp_nz_b01/15033543	also let go one of their expensive off season acquisitions , Stanford Routt . Things are beyond repair and pride is all there is to play for before a major	reorganisation	before next season . @ @ @ @ @ @ @ @ @ @ and they have a strong tradition and a evergreen feeling of pride . At home it	reorganisation
reorganisation/n/wlp_nz_b01/9990048	Local Government and Environment Select Committee . Drafted by HBRC staff , the submission would oppose the provisions of the Government 's pending bill designed to streamline the local government	reorganisation	process . <p> The bill includes provisions that would enable community groups -- like A Better Hawke 's Bay in our region -- to initiate reorganisation proposals . It would	reorganisation
reorganisation/n/wlp_nz_b01/7408541	production by dropping one ) . This fact also makes economic sense . Firms can respond to a given increase in the demand for their product with or without a	reorganisation	. In the latter case , they just expand their production base , i.e. they hire more workers . By doing so , however , a strain is @ @	reorganisation
reorganisation/n/wlp_nz_b01/12457024	equip those students wanting to improve the services around them . This skillset could then be furthered through projects or once they start clinical placements . <p> Medical leadership and	reorganisation	of deaneries <p> Students and trainees also considered how the reorganisation of local deaneries might affect the way we learn about medical leadership and management . It was proposed that	reorganisation
reorganisation/n/wlp_nz_b01/22721813	of the principal Act , is that there is no evidence that the current law is causing a problem . <p> When there is an initiation and implementation of a	reorganisation	proposal , it @ @ @ @ @ @ @ @ @ @ and to ensure that it benefits residents and ratepayers . So the current criteria in the Local	reorganisation
reorganisation/n/wlp_nz_b01/121051	Parliament in May and be passed in September . They will refocus the purpose of local government , introduce fiscal responsibility requirements , strengthen council governance provisions and streamline council	reorganisation	procedures . \" <p> Streamlining council reorganisation procedures is the most important of those objectives , in Alf 's book . <p> A booklet entitled \" Better Local Government \"	reorganisation
reorganisation/n/wlp_nz_b01/12457035	This skillset could then be furthered through projects or once they start clinical placements . <p> Medical leadership and reorganisation of deaneries <p> Students and trainees also considered how the	reorganisation	of local deaneries might affect the way we learn about medical leadership and management . It was proposed that we should consider this change as a repositioning opportunity . Now	reorganisation
