id	left	target	right	lemma
story/n/wlp_gb_b04/1061484	Secrets of the Press , a collection of essays edited by Stephen Glover , there 's a chapter entitled ' How to claim a camel on expenses ' . The	story	is related of how an enterprising Express hack , who 'd been keeping a camel for racing purposes while posted in some godforsaken African country , managed to claim the	story
story/n/wlp_gb_b03/12576511	sell millions and is praised like it 's the holy grail . Yet when a game with an 18+ rating ( i.e NOT for children ) , tells a mature	story	, filled with emotion and believable characters , that tackles current events in a mature way and not with some angry coloured bloke with far too many @ @ @	story
story/n/wlp_gb_b06/19004099	destroying journalism , because it is allowing cub reporters to interview people from their desks without getting their shoe leather worn out in the real world in pursuit of a	story	. <p> Social media is a great way to find stories , to distribute them , and to verify and enhance them . Here are three examples . <h> Find	story
story/n/wlp_gb_b07/1109005	our protagonist 's well-being is best served by an overwhelming desire for Der Kuss . <p> In addition , the utter dissatisfaction one might feel with the outcome of the	story	-- wherein the addition of constraints on outcome ( such that it does n't , by some mysterious genie-calculus , upset overall well-being ) results in having an awesome painting	story
story/n/wlp_gb_b02/18592938	hurry to decide what I wanted to be when I grew up . Crime fiction for me had much the same attraction as traditional music : a given form ,	story	and character structures built into it , an inviolable sense of otherness , of having slipped into an alien world , or a world just beneath the surface of the	story
story/n/wlp_gb_b04/8198374	no longer merit our custom . <p> #89 Neil Small , where are you getting all this dishonesty nonsense from . <p> Look , the \" telegraph \" ran the	story	, along with aload of other MP 's ( and their expenses ) apparently the " telegraph " got hold of a disc from a mole containing all the information	story
story/n/wlp_gb_b02/7428543	) . I fear her international reputation may have evaporated along with the death of \" Big Ears \" ( from Noddy ) and that ludicrous \" Climate Change \"	story	from Africa that tried to pretend that the fish were disappearing from a lake not through population growth and over-fishing but , suddenly ( drum roll ) , through the	story
tale/n/wlp_gb_b07/19226616	I knew there had to be more than 10 or less creations that were ideal @ @ @ @ @ @ @ @ @ @ . The moral of that	tale	is that if at first you do nt succeed , not only try again , but try different wordings too . Anyway after a few false starts I think I	tale
story/n/wlp_gb_b04/15864635	which will be awesome . But @ @ @ @ @ @ @ @ @ @ happen ##3137452 <h> Josh Radnor 's beautifully structured and warm take on the oft-told	story	of a man who clings to his youth . <p> This review was originally published 1st May 2012 as part of our Sundance London coverage . <p> Josh Radnor ,	story
story/n/wlp_gb_b01/17884368	curious character . Yes , there are obvious genre references and conventions , some of which work to settle the reader in , but I like the feel of the	story	so far -- I do n't feel I know which direction it 's going to take and I 'm @ @ @ @ @ @ @ @ @ @ spectacular	story
