id	left	target	right	lemma
plane/n/wlp_ie_b01/16385838	all is well within the Irish camp . It was reported that a last minute intervention by Trap was just about enough to convince the Fulham defender to board the	plane	. Not the most perfect preparation considering how much the team need a victory to stay on course for second spot but nothing surprises me lately with this current Irish	plane
plane/n/wlp_ie_b01/13053184	<p> I 'd say there are too many distractions in an office for social media <p> Mel Schregardus <p> I would *love* to work from home but I think controlling	planes	from my laptop may be a bit away yet I 'm not sure if I 'd have your discipline but the thought of not having to go out in the	plane
airplane/n/wlp_ie_b01/18548014	Supporting Actor award from the Academy of Science Fiction , Fantasy &; Horror Films for this performance ) as John Valentine , an aviophobic author of computer textbooks aboard an	airplane	who sees a devilish flying gremlin wreaking havoc on the plane 's wing through his seat window . He starts freaking out and is thought crazy by the other passengers	airplane
plane/n/wlp_ie_b01/4260943	... by two things that had nothing to do with cooking a meal or taking a bath -- the automobile and the aeroplane . Actually , the auto and the	plane	have become symbols of the nation 's scientific imagination and a vital part to its psychology , establishing trends and influencing people in everything they buy . ' 7 <p>	plane
airplane/n/wlp_ie_b01/17846190	Christmas Square en route to the forest to visit Santa . <p> This year , Santa has brought a few surprises with him , including his own ' Reinair '	airplane	( in case the weather is too mild and the sleigh ca n't be used ) . <p> Every year , thousands of children and parents come to Rathwood ,	airplane
plane/n/wlp_ie_b01/2443121	@ @ @ @ @ thing tricky so at least this is an easy one . <p> We get an ambulance to the airport and get on a Cessna type	plane	with three seats and room for a stretcher . In an airplane with a patient you can pretty much see their chest going up and down as they breathe but	plane
plane/n/wlp_ie_b01/680212	Glasgow and I just sat there impersonating a waterfall ! ! ! This lovely lady came up to me and consoled me for the whole time until we boarded the	plane	. Never forgot that ! Kindness of strangers . Unfortunately there was nothing I could have done to cover up the damage the tears did for hours , but I	plane
airplane/n/wlp_ie_b01/10234395	during the height of the potato famine that engulfed the island of Ireland . <p> That feeling is lost on those who make the same voyage today . We have	airplanes	. We have networks . We can make a few clicks of a button on a computer and instantly see family and friends from home while talking to them .	airplane
plane/n/wlp_ie_b01/22139785	pay . Makes sense to me , What would happen if the whole plane was booked out by herself and similar people , apart from them not fitting , the	plane	would be dangerously over weight , more fuel burned etc <p> @Perky I have no problem with someone having to pay for two seats , if they take up two	plane
plane/n/wlp_ie_b01/18430428	are designed to target abortion specifically , are consistent with a history of keeping abortion out of sight in Ireland ; of packing women off to Britain on boats and	planes	, and restricting discussions to hushed tones . It creates a stigma around abortion , one that @ @ @ @ @ @ @ @ @ @ one in 10	plane
plane/n/wlp_ie_b01/22139327	@ @ @ rugby player , not fat but big and bulky , they get in their neighbours space on flights , should the buy two seats ? Or maybe	planes	should start putting in a few rows of seats to accommodate ' abnormal ' people ? Extra wide seats , extra leg space , no overhead lockers so tallies do	plane
plane/n/wlp_ie_b01/8631805	Blonde haired women are EVERYWHERE . <p> Everything from hotel towels to Volvo cars are driven towards conservation of the environment . <h> 2 Responses to \" views from a	plane	\" <p> Elks , cowboy , what about the elks ! ? ! came across your dream car by any chance ? never been over to scandinavia , would love	plane
plane/n/wlp_ie_b01/14191025	everyone having their own screen and a choice of dozens of movies.So that helped pass the time . I watched 2 movies and took a nap on the way over.The	plane	was packed of course ...... now seriously United Airlines ..... about 200 people and only two small bathrooms ? ? ? ! ! ! <p> I 've got 2 more	plane
plane/n/wlp_ie_b01/12366128	, sprinting towards @ @ @ @ @ @ @ @ @ @ and the umpire had no hesitation in awarding a stroke which Orla Canavan , fresh off the	plane	from her holidays , stepped up to take . She lifted it beautifully towards the top corner , but again , the Muckross keeper made an excellent save to keep	plane
