id	left	target	right	lemma
champion/n/wlp_sg_b01/14850184	since the PLO left Lebanon in 1982 , the Palestinian refugees in the country have not had a strong or viable entity that protects them , let alone one that	champions	their basic human and civil rights . The United Nations Relief and Works Agency ( UNRWA ) is charged with providing health , education , and social services to the	champion
champion/n/wlp_sg_b01/5254253	Trafford following his move from Borussia Dortmund . <p> The 23-year-old @ @ @ @ @ @ @ @ @ @ the world after impressing this season for the Bundesliga	champions	. However , Sir Alex Ferguson moved quickly to secure the signing of the Japan midfielder . <p> Kagawa is now eagerly anticipating getting started for the Red Devils and	champion
champion/n/wlp_sg_b01/12867223	team and lacrosse team back in school . He has actually won a state championship with the lacrosse team ! <p> You 'd think that as captain of a state	champion	team , KP would be a jock in school . However , he said that he was actually more of a dork since he was so tall and skinny .	champion
champ/n/wlp_sg_b01/6499773	Wendell Sailor also chipped in . <p> \" Well good morning to u Campo &; I have to say r are on ur own with this comment it 's 2012	champ	, " he tweeted . <p> Campese earlier this month called for Wallabies coach Robbie Deans to be sacked for " destroying " Australian rugby by failing to produce a	champ
champion/n/wlp_sg_b01/11437622	@ around with the Reds winning 2-1 in Tashkent before drawing 1-1 at home . <p> With the K-League having provided two of the last three winners of the AFC	Champions	League and last year 's beaten finalists , Ulsan are the only remaining Korean side in the draw . <p> Al Hilal , meanwhile , are looking to add to	champion
champion/n/wlp_sg_b01/6422406	the election , he simply abandoned his supporters . So much for the trait of fortitude of an SAF General . <p> This man graduated from Cambridge and Harvard which	champion	liberation of ideas and freedom of speech . But when we ask tough questions about PAP and criticize its governing , he disparages us as ' Bo Tua , Bo	champion
champion/n/wlp_sg_b01/9898588	<p> Although the rain was a damper in the first couple off days , warmth and camaraderie more than made up for it . <p> The Kota Kinabalu Golf Challenge	champion	was Nick D'Cruz , which really was no surprise . We had six guests joining us for the trip . One of them , Patrick Low from RCC came in	champion
champion/n/wlp_sg_b01/543861	. From a third place finish in 2010 in their debut season , Siglap CSC gained promotion into the National Football League ( NFL ) division three after finishing as	Champions	of the FAS Islandwide League in 2011 . <p> Come Tuesday ( 30 October ) , they will be representing the amateur football fraternity when they take to the Jalan	champion
champion/n/wlp_sg_b01/15049138	a Lane ) to destroy @ @ @ @ @ @ @ @ @ @ . Along the way , each player gains levels from killing the opposing team 's	champions	and Minions ( NPCs that constantly spawn and attack the other team ) and defeating neutral monsters . Killing of any enemy Champions , turrets , minions or neutral monster	champion
champion/n/wlp_sg_b01/4193786	, etc . It 's a pretty visual yet heavy on the gameplay as well . I would say LoL is a well-balanced game . <p> List of ALL the	champions	! AMAZING RIGHT ? <p> Name of character , with different stats , as well as the " skins " available for the champion . <p> Anyway , the whole	champion
champion/n/wlp_sg_b01/7119402	to his Western Australia State Amateur victory in March . <p> However , it will be Guan who now looks forward to following in the footsteps of 2010 and 2011	champion	Matsuyama , who in April made the cut in the Masters Tournament at Augusta National Golf Club for the second straight year . <p> Guan , who plays at Lion	champion
champion/n/wlp_sg_b01/7785020	cars as they race . <p> Masataka ( Ma ) Yanagida of the PETRONAS Syntium Team ( who had a champion 2011 year with three major titles : Super GT500	champion	, Super Taikyu champion and MMER overall winner ) clearly expressed his ' love ' for the heat . <p> With such punishing temperatures , it 's amazing how the	champion
champion/n/wlp_sg_b01/5258213	when Rafa Benitez was linked in March <p> Oh No , not Rafa Benitez . It 's like some kind of cruel payback for finally being allowed to win the	Champions	League . <p> Maybe people unconnected with the club do not understand why most fans passionately did n't want him at Chelsea , but it is extraordinary that Roman 's	champion
champion/n/wlp_sg_b01/7332643	fitting that we are making this highly significant announcement . <p> \" This is not so much a renewal as a rebirth -- it 's a new dawn for HSBC	Champions	and for Asian golf which is now right at the top table of world golf . <p> " When we first came to China in 2005 , our ambition was	champion
champion/n/wlp_sg_b01/5258288	<p> No-one personifies the dislike between Liverpool and Chelsea more than he does . <p> It started with him carping on about Jose Mourinho on his way to the luckiest	Champions	League win in history . ( Yes , even luckier than ours ) . <p> The Ghost Goal at Anfield fuelled the rivalry and Didier Drogba brilliantly responded to his	champion
champion/n/wlp_sg_b01/11430882	comes despite a disappointing showing in the domestic league last season , with a fifth-placed finish meaning they have missed out on a place in the next year 's AFC	Champions	League . <p> As a result , Hazazi believes Al Ittihad are more motivated than ever to succeed in this year 's AFC Champions League . <p> " Asian competition	champion
