id	left	target	right	lemma
bike/n/wlp_nz_b01/20139668	Bangladesh . Our Christmas vacations ( we were both teachers ) were spent in far flung places like Mali or Yemen . Even when we were n't traveling on our	bikes	, we did active things like backpacking in the Simien Mountains in Ethiopia . <h> What ages were your children when you started travelling with them ? <p> We were	bike
bike/n/wlp_nz_b01/23619994	in half . <p> Slade Brings the dirt tricks to street and the street tricks to dirt . Peggin at the trails . <p> C. Top 5 Moments with Your	bike	Good or Bad <p> 1 . Directly after sliding down any sizable hand rail is one of the greatest feelings in the world . 2 . Driving 3500 plus kms	bike
bike/n/wlp_nz_b01/3472509	thought wow , that 's a good smell to have in the @ @ @ @ @ @ @ @ @ @ there was a pool of oil under the	bike	. Fuck . It seems to becoming out of the crank-case where it meets the primary . My guess is that it 's coming out the three holes where the	bike
bike/n/wlp_nz_b01/7670003	diverse video games which are offered in this site into numerous categories . A few of these classes include things like most common , most recent , auto , Dirt	Bike	Games , parking , racing , motorcycle , BMX and truck . Any gamer who visits the internet site of i-Dirt Bicycle Games can decide on the classification of his	bike
bike/n/wlp_nz_b01/5727856	with the pipe and triple line shrouded in low vis from early morning . Not too worry , plenty of time for the athletes to take advantage of the spin	bikes	and physio balls in the warm-up area . The low cloud was also good news for startstruck groms , who got a chance to mingle with their heroes . (	bike
bike/n/wlp_nz_b01/11719589	When you 're done with brunch take the opportunity to check out the latest electric bikes on display at the Middle Road Piazza from 10:00 to 12:00 . <p> BIG	BIKE	FIX UP - After all that biking your trusty steeds will be in need of some love and attention . There will be bike mechanics there in the Middle Road	bike
bike/n/wlp_nz_b01/20940006	like a freight train powered by some big checkbooks @ @ @ @ @ @ @ @ @ @ a production run for a new 26-inch model just before the	bike	was set to go into production . <p> Twenty-six inch is taken off the menu <p> " It was all ready to go , all the engineering was done ,	bike
bike/n/wlp_nz_b01/2393293	me less than $30 at Hub Cycles ( fancier ones like Topeak might cost you a bit more ) . Or the next time you 're looking at a new	bike	purchase , make sure that you tell your retailer that you are only looking for models with mudguards -- they might start to get the hint ... <p> Simple clip-on	bike
bicycle/n/wlp_nz_b01/19898652	<p> Assume you 're searching for new clip in shoes for your road bike , but you 're not sure exactly what you want . You go to your favorite	bicycle	or sports outfitter 's website and search ' bike shoes ' . But instead of turning up only the shoes specific to bicycling , it also shows you a variety	bicycle
bike/n/wlp_nz_b01/19608630	muscles tire quicker , to a minimum , he said . <p> While the study , funded by Diabetes Australia , only measured the effect of sprints on an exercise	bike	, other types of activity , such as fast running , rowing , stair climbing , shadow boxing and skipping , could also raise a person 's heart rate to	bike
bike/n/wlp_nz_b01/15277178	<p> Organisers now run workshops for those men \" to enlighten them a bit more about family violence \" . <p> Riders can join the ride when they see the	bikes	going through their town - the only criteria is that bikes must be over 250cc . The White Ribbon celebration is free and open to all . It runs from	bike
bicycle/n/wlp_nz_b01/8752496	I am saying is , there is not enough education . Motorcycles are dangerous , people who ride them understand that and most of them do something about it .	Bicycles	are dangerous , some people kind of do something about it ( hi viz and saying do nt run @ @ @ @ @ @ @ @ @ @ needs	bicycle
bike/n/wlp_nz_b01/4969318	on one side of the river with a customer base on the other less so . It 's not that the ferry fare is exorbitant ( unless you 're a	bike	and pay almost as much as a car . Bastards ) -- it 's the question of who pays for your workers while they 're waiting for the ferry and	bike
bike/n/wlp_nz_b01/21814423	our mums and dads . when we were waiting we felt heaps more aftershocks and we saw rocks falling down from cliffs . then my dad finally came on his	bike	because there was heaps of @ @ @ @ @ @ @ @ @ @ . he told us to wait with a friend while he went to find a	bike
bike/n/wlp_nz_b01/8857095	If you also ignore that the car drivers are also eating food and probably just getting fat and if you ignore the CO2 used to produce a car or a	bike	and if you ignore all the pollution from burning petrol and if you ignore all the road space being built for the car then yes I @ @ @ @	bike
bike/n/wlp_nz_b01/2428696	advantage steadily increased . <p> Breakaway Group -- Stage 6 ( Invercargill to Gore ) <p> From there we settled in to a long day out the front of the	bike	race . It was a good situation for us , as our group could put Jones ' Bissell team under plenty of pressure while Mike and my other teammates could	bike
bike/n/wlp_nz_b01/11719613	10:00 to 12:00 . <p> BIG BIKE FIX UP - After all that biking your trusty steeds will be in need of some love and attention . There will be	bike	mechanics there in the Middle Road Piazza ready to tune up your bike free of charge ! Big thanks to iWay for organising this event . <p> WHEELY GLASSY --	bike
bike/n/wlp_nz_b01/2384286	share schemes in Porirua and Palmerston North in @ @ @ @ @ @ @ @ @ @ Auckland bike share scheme failed and closed in 2010 . Ratepayer funded	bike	share schemes in Brisbane and Melbourne are performing poorly because of the helmet law . The bicycle helmet law has robbed us big time . SCRAP THIS EVIL LAW !	bike
bike/n/wlp_nz_b01/10372910	who moved from his 85 to the 125 , showing loads of talent and just needing some forced relaxation in corners and landing jumps to increase his confidence . <p>	Bike	Setup <h> Double Up <p> As a coach , I love the one on ones but it is the one on two sessions where I can double the value by	bike
bike/n/wlp_nz_b01/13404028	bikes and ride to work schemes , as people look for alternative methods to commute . <p> This post was sponsored by Evans Cycles , but all miles covered by	bike	and opinions are Jase 's own . <h> 4 @ @ @ @ @ @ @ @ @ @ lucky in that I can walk to work , but my	bike
bike/n/wlp_nz_b01/8749374	<p> I 'm no expert in bikes . All I know is that my bike has disc brakes , a fairly light body ( probably because it 's a small	bike	) and 24 gears . <p> Going to Work and Grocery Shopping <p> The least busy and most efficient cycling route I figured out from home to work is about	bike
