id	left	target	right	lemma
bath/n/wlp_ie_b01/11755578	ready -- except Potato . Onion is practicing his guitar , Aubergine is wearing her new necklace and Peach is bouncing on the bed with excitement . Potato needs a	bath	-- but he has other ideas -- because Potato loves mud ! A gentle and light-hearted new show for young children featuring fruit , vegetables and original music . <h>	bath
bath/n/wlp_ie_b01/1058360	really pose a problem . However it transpires that the apartment above us has some bathroom plumbing issues . A year ago E was nearly deluged with a pile of	bath	water when the kitchen light fixture basically burst from the soggy plaster revealing some rather substantial leak problems from above , and the aforementioned light was only replaced a few	bath
bath/n/wlp_ie_b01/14257033	Washing should be ultra-gentle in order to limit the risk of irritation . Shower using warm water ( 35C ) to avoid provoking or triggering renewed itching . In the	bath	, squeeze a couple of drops of bath oil to neutralise the drying effect of water . Lipikar Cleansing Oil ( 13.75 ) is suitable for the most sensitive skin	bath
bath/n/wlp_ie_b01/2227865	just ca n't be doing nothing at all anymore . Maybe not , but we can curb emotional eating with a non-food related reward , or distraction . A relaxing	bath	, a chat with friend , a good book ... or knitting a winter warmer . A 2009 study in the Journal of Eating and Weight Disorders found knitting helped	bath
bath/n/wlp_ie_b01/11681583	. When our doctor suggested we buy a humidifier she said , \" Oh , I already have one ! \" When I was getting Max ready for his first	bath	, she pulled out a neat homemade bath kit , complete with a tiny towel , comb and toothbrush . I felt like I 'd forgotten to read a secret	bath
bathroom/n/wlp_ie_b01/19642351	the time in Dancing At Lughnasa on Broadway ) in Bradley 's when James was playing there . He and Fergus got chatting as they waited to use the tiny	bathroom	in Bradley 's and upon hearing the accent James asked Fergus @ @ @ @ @ @ @ @ @ @ James then told Fergus there were two of his	bathroom
bath/n/wlp_ie_b01/21580979	you and your imagination . <h> INSPIRING IMAGES OF HORSES <h> I came across this horse just a couple of days ago . She was head first in a Jacuzzi	bath	filled with pastries , bread , sandwiches and all manner of wheaty carbs . I am pretty sure this is not good for horses but with the recession in Ireland	bath
bathroom/n/wlp_ie_b01/3121624	to the back of the house , radiator , carpet , view of back garden . <p> BEDROOM 3 : - Single room to front of house . <p> SEPARATE	BATHROOM	&; SEPARATE WC . <p> Beautifully appointed and very well maintained , fitted smoke alarms , condensing boiler , all new electrics &; plumbing , insulation . <p> Viewing :	bathroom
bath/n/wlp_ie_b01/8241599	@ @ @ @ @ @ @ @ @ Wally Page , Doug Lang and Small Town Talk ... took \" the waters \" here once and had the seaweed	bath	... ( I was drinking at the time and thought it might cure my jitters ... it only pointed up my thirst , I was soon back up the hill	bath
bathroom/n/wlp_ie_b01/14196969	with the girls early-ish and went to the center of Limerick on a bus and had no idea what we were doing . It was really fun- bought towels and	bathroom	supplies ! Met @ @ @ @ @ @ @ @ @ @ to a nice chinese dinner which was the first real meal I had had since Sunday night	bathroom
